VoterId,ElectionDate,ElectionDescription,VotingMethod
173062,09/12/2000,STATE PRIMARY ELECTION,P
173062,11/07/2000,STATE GENERAL,P
173062,11/03/1998,STATE GENERAL,P
173062,11/02/2004,11/02/2004 - STATE GENERAL,P
173062,11/05/2002,11-05-02 STATE GENERAL ELECTION,P
173062,11/07/2006,11/07/2006 - STATE GENERAL,P
173062,11/04/2008,11/04/2008 - STATE GENERAL,P
173062,11/02/2010,11/02/2010 - STATE GENERAL,P
173062,11/08/2011,11/08/2011 - SD SPEC ELECT ISD 88 - NEW ULM,P
173062,11/06/2012,11/06/2012 - STATE GENERAL,P
173062,11/08/2016,11/08/2016 - STATE GENERAL,P
140344,11/02/2004,11/02/2004 - STATE GENERAL,P
140344,11/07/2006,11/07/2006 - STATE GENERAL,P
140344,11/08/1994,STATE GENERAL,P
140344,11/06/2012,11/06/2012 - STATE GENERAL,P
140344,11/08/2016,11/08/2016 - STATE GENERAL,P
79401,11/02/2004,11/02/2004 - STATE GENERAL,P
79401,11/07/2000,STATE GENERAL,P
79401,11/05/2002,11-05-02 STATE GENERAL ELECTION,P
79401,11/07/2006,11/07/2006 - STATE GENERAL,P
79401,11/04/2008,11/04/2008 - STATE GENERAL,P
79401,11/06/2012,11/06/2012 - STATE GENERAL,P
79401,11/08/2016,11/08/2016 - STATE GENERAL,P
218817,11/07/2000,STATE GENERAL,P
218817,11/03/1998,STATE GENERAL,P
218817,11/05/1996,STATE GENERAL,P
218817,11/08/1994,STATE GENERAL,P
218817,11/05/2002,11-05-02 STATE GENERAL ELECTION,P
218817,11/02/2004,11/02/2004 - STATE GENERAL,P
218817,11/07/2006,11/07/2006 - STATE GENERAL,P
218817,11/04/2008,11/04/2008 - STATE GENERAL,P
218817,08/10/2010,08/10/2010 - STATE PRIMARY,P
218817,11/02/2010,11/02/2010 - STATE GENERAL,P
218817,11/06/2012,11/06/2012 - STATE GENERAL,P
218817,05/07/2013,05/07/2013 - SPEC ELECT CITYWIDE ROCHESTER,P
218817,07/30/2013,07/30/2013 - SPEC ELECT MCD ROCHESTER W-05,P
218817,09/17/2013,09/17/2013 - SPEC ELECT MCD ROCHESTER W-05,P
218817,11/04/2014,11/04/2014 - STATE GENERAL,P
218817,11/08/2016,11/08/2016 - STATE GENERAL,P
241001,11/07/2000,STATE GENERAL,P
241001,09/13/1994,STATE PRIMARY ELECTION,P
241001,11/02/2004,11/02/2004 - STATE GENERAL,P
241001,11/05/1996,SCHOOL BOARD ELECTION,P
241001,11/08/1994,STATE GENERAL,P
241001,09/15/1998,STATE PRIMARY ELECTION,P
241001,11/02/1993,SCHOOL BOARD ELECTION,P
241001,10/23/2001,COUNTY BOND ISSUE,M
241001,11/07/2006,11/07/2006 - STATE GENERAL,P
241001,11/04/2008,11/04/2008 - STATE GENERAL,P
241001,11/03/1998,STATE GENERAL,P
241001,11/05/2002,11-05-02 STATE GENERAL ELECTION,P
241001,11/08/2016,11/08/2016 - STATE GENERAL,P
293968,11/07/2000,STATE GENERAL,P
293968,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
293968,11/02/2004,11/02/2004 - STATE GENERAL,P
293968,11/04/2008,11/04/2008 - STATE GENERAL,P
293968,11/03/1998,STATE GENERAL,P
293968,11/06/2012,11/06/2012 - STATE GENERAL,P
